"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
"2","2022-01-01T00:23:02.000","2022-01-01T00:28:20.000","1.0","0.75","1.0","N","158","246","1","5.5","0.5","0.5","15.0","0.0","0.3","24.3","2.5","0.0"
"2","2022-01-01T00:45:37.000","2022-01-01T00:55:05.000","1.0","1.34","1.0","N","246","107","1","7.5","0.5","0.5","2.26","0.0","0.3","13.56","2.5","0.0"
"2","2022-01-01T00:14:55.000","2022-01-01T00:33:25.000","5.0","2.5","1.0","N","50","137","1","12.5","0.5","0.5","4.08","0.0","0.3","20.38","2.5","0.0"
"2","2022-01-01T00:10:44.000","2022-01-01T00:15:22.000","1.0","0.5","1.0","N","79","79","1","5.0","0.5","0.5","1.76","0.0","0.3","10.56","2.5","0.0"
"2","2022-01-01T00:16:59.000","2022-01-01T00:31:13.000","1.0","2.8","1.0","N","113","229","1","12.0","0.5","0.5","3.95","0.0","0.3","19.75","2.5","0.0"
"2","2022-01-01T00:33:00.000","2022-01-01T00:39:48.000","1.0","1.27","1.0","N","229","262","2","7.0","0.5","0.5","0.0","0.0","0.3","10.8","2.5","0.0"
"2","2022-01-01T00:50:08.000","2022-01-01T00:53:00.000","1.0","0.77","1.0","N","263","263","1","4.5","0.5","0.5","1.66","0.0","0.3","9.96","2.5","0.0"
"1","2022-01-01T00:32:47.000","2022-01-01T00:57:19.000","2.0","4.5","1.0","N","170","41","1","19.0","3.0","0.5","4.55","0.0","0.3","27.35","2.5","0.0"
"2","2022-01-01T00:12:20.000","2022-01-01T00:26:51.000","3.0","8.11","1.0","N","142","127","1","23.5","0.0","0.5","2.68","0.0","0.3","29.48","2.5","0.0"
"2","2022-01-01T00:58:20.000","2022-01-01T01:07:59.000","1.0","1.9","1.0","N","142","140","1","9.0","0.5","0.5","2.56","0.0","0.3","15.36","2.5","0.0"
"2","2022-01-01T00:37:16.000","2022-01-01T01:03:18.000","2.0","10.35","1.0","N","138","68","1","31.5","0.5","0.5","10.78","6.55","0.3","53.88","2.5","1.25"
"2","2022-01-01T00:13:05.000","2022-01-01T00:26:14.000","4.0","3.96","1.0","N","141","4","1","13.0","0.5","0.5","3.36","0.0","0.3","20.16","2.5","0.0"
"2","2022-01-01T00:31:19.000","2022-01-01T00:55:27.000","3.0","5.65","1.0","N","79","36","1","21.0","0.5","0.5","3.0","0.0","0.3","27.8","2.5","0.0"
"2","2022-01-01T00:46:55.000","2022-01-01T01:07:12.000","1.0","5.74","1.0","N","246","232","1","20.0","0.5","0.5","2.0","0.0","0.3","25.8","2.5","0.0"
"2","2022-01-01T00:13:04.000","2022-01-01T00:32:06.000","1.0","2.77","1.0","N","113","161","2","14.0","0.5","0.5","0.0","0.0","0.3","17.8","2.5","0.0"
"2","2022-01-01T00:42:32.000","2022-01-01T00:45:58.000","1.0","0.55","1.0","N","170","137","1","4.5","0.5","0.5","1.66","0.0","0.3","9.96","2.5","0.0"
"2","2022-01-01T00:49:58.000","2022-01-01T00:54:37.000","1.0","1.07","1.0","N","137","162","1","5.5","0.5","0.5","2.79","0.0","0.3","12.09","2.5","0.0"
"1","2022-01-01T00:17:16.000","2022-01-01T00:24:56.000","4.0","1.2","1.0","N","162","141","2","7.0","3.0","0.5","0.0","0.0","0.3","10.8","2.5","0.0"
"1","2022-01-01T00:36:14.000","2022-01-01T00:38:06.000","1.0","1.2","1.0","N","163","163","2","3.0","3.0","0.5","0.0","0.0","0.3","6.8","2.5","0.0"
"1","2022-01-01T00:39:21.000","2022-01-01T00:49:06.000","1.0","2.6","1.0","N","163","263","1","10.0","3.0","0.5","2.75","0.0","0.3","16.55","2.5","0.0"
"1","2022-01-01T00:59:23.000","2022-01-01T01:19:51.000","2.0","8.3","1.0","N","236","255","2","25.5","3.0","0.5","0.0","0.0","0.3","29.3","2.5","0.0"
"2","2022-01-01T00:23:21.000","2022-01-01T00:39:24.000","1.0","4.51","1.0","N","143","170","1","16.5","0.5","0.5","1.0","0.0","0.3","21.3","2.5","0.0"
"2","2022-01-01T00:53:48.000","2022-01-01T01:00:48.000","1.0","1.75","1.0","N","162","236","1","8.0","0.5","0.5","1.77","0.0","0.3","13.57","2.5","0.0"
